,Contract Name,Last Day Traded,Strike,Last Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Implied Volatility,Price of Underlying,Date,Maturity Date,Option Type
326,AAPL180601C00150000,2018-04-20 12:24PM EDT,150.00,17.80,16.45,19.80,-7.70,-30.20%,30,2,57.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
327,AAPL180601C00152500,2018-04-25 2:41PM EDT,152.50,14.00,0.00,0.00,0.00,-,11,23,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
328,AAPL180601C00155000,2018-04-24 3:47PM EDT,155.00,10.65,0.00,0.00,0.00,-,2,13,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
329,AAPL180601C00157500,2018-04-26 9:36AM EDT,157.50,10.05,0.00,0.00,0.00,-,1,31,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
330,AAPL180601C00160000,2018-04-26 3:50PM EDT,160.00,7.90,0.00,0.00,0.00,-,3,117,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
331,AAPL180601C00162500,2018-04-26 2:51PM EDT,162.50,6.53,0.00,0.00,0.00,-,22,202,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
332,AAPL180601C00165000,2018-04-26 3:02PM EDT,165.00,5.00,0.00,0.00,0.00,-,164,450,0.39%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
333,AAPL180601C00167500,2018-04-26 2:51PM EDT,167.50,4.03,0.00,0.00,0.00,-,40,418,1.56%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
334,AAPL180601C00170000,2018-04-26 3:37PM EDT,170.00,3.00,0.00,0.00,0.00,-,119,643,3.13%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
335,AAPL180601C00172500,2018-04-26 3:35PM EDT,172.50,2.15,0.00,0.00,0.00,-,35,376,3.13%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
336,AAPL180601C00175000,2018-04-26 3:57PM EDT,175.00,1.60,0.00,0.00,0.00,-,86,"1,155",6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
337,AAPL180601C00177500,2018-04-26 3:09PM EDT,177.50,1.10,0.00,0.00,0.00,-,77,919,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
338,AAPL180601C00180000,2018-04-26 3:53PM EDT,180.00,0.73,0.00,0.00,0.00,-,68,770,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
339,AAPL180601C00182500,2018-04-26 3:43PM EDT,182.50,0.55,0.00,0.00,0.00,-,17,216,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
340,AAPL180601C00185000,2018-04-26 3:31PM EDT,185.00,0.33,0.00,0.00,0.00,-,15,295,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
341,AAPL180601C00190000,2018-04-26 3:52PM EDT,190.00,0.16,0.00,0.00,0.00,-,140,381,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
342,AAPL180601C00192500,2018-04-26 1:24PM EDT,192.50,0.13,0.00,0.00,0.00,-,1,26,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
343,AAPL180601C00195000,2018-04-26 12:32PM EDT,195.00,0.10,0.00,0.00,0.00,-,15,145,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
344,AAPL180601C00200000,2018-04-26 1:52PM EDT,200.00,0.03,0.00,0.00,0.00,-,2,27,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
345,AAPL180601C00202500,2018-04-23 12:53PM EDT,202.50,0.10,0.00,0.00,0.00,-,11,262,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
346,AAPL180601C00205000,2018-04-20 11:49PM EDT,205.00,0.08,0.00,0.15,0.00,-,1,3,34.57%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
347,AAPL180601C00207500,2018-04-23 9:30AM EDT,207.50,0.08,0.00,0.00,0.00,-,1,1,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
348,AAPL180601C00210000,2018-04-20 11:49PM EDT,210.00,0.05,0.00,0.12,0.00,-,10,0,36.43%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
349,AAPL180601C00212500,2018-04-27 6:56AM EDT,212.50,0.03,0.00,0.00,0.00,-,20,10,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Call
350,AAPL180601P00135000,2018-04-25 3:44PM EDT,135.00,0.31,0.00,0.00,0.00,-,10,68,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
351,AAPL180601P00140000,2018-04-24 3:45PM EDT,140.00,0.82,0.00,0.00,0.00,-,208,0,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
352,AAPL180601P00142000,2018-04-27 6:57AM EDT,142.00,0.60,0.00,0.00,0.00,-,1,1,12.50%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
353,AAPL180601P00145000,2018-04-26 2:17PM EDT,145.00,0.93,0.00,0.00,0.00,-,33,717,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
354,AAPL180601P00146000,2018-04-24 2:30PM EDT,146.00,1.52,0.00,0.00,0.00,-,186,0,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
355,AAPL180601P00147000,2018-04-25 3:40PM EDT,147.00,1.27,0.00,0.00,0.00,-,248,262,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
356,AAPL180601P00148000,2018-04-26 12:02PM EDT,148.00,1.21,0.00,0.00,0.00,-,3,78,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
357,AAPL180601P00149000,2018-04-25 1:47PM EDT,149.00,1.35,0.00,0.00,0.00,-,87,94,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
358,AAPL180601P00150000,2018-04-26 3:05PM EDT,150.00,1.54,0.00,0.00,0.00,-,83,600,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
359,AAPL180601P00152500,2018-04-26 3:02PM EDT,152.50,2.00,0.00,0.00,0.00,-,42,225,6.25%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
360,AAPL180601P00155000,2018-04-24 3:45PM EDT,155.00,3.50,0.00,0.00,0.00,-,32,0,3.13%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
